,key,number of ones,number of zeros,odds ratio
7,cube2_cluster2,33,341,1.266450225
1,cube1_cluster1,33,341,1.266450225
31,cube7_cluster1,6330,67665,1.228750274
12,cube3_cluster2,20177,226471,1.177089007
21,cube5_cluster1,21512,241868,1.175749556
10,cube3_cluster0,9541,107775,1.16337627
24,cube5_cluster4,9138,103739,1.15722881
17,cube4_cluster2,24215,277247,1.154700492
27,cube6_cluster2,23487,269329,1.152409208
35,cube8_cluster0,6345,72338,1.150843459
23,cube5_cluster3,14816,182021,1.068364117
11,cube3_cluster1,14814,182019,1.068225159
25,cube6_cluster0,14840,182592,1.066680043
15,cube4_cluster0,14826,183108,1.062484692
26,cube6_cluster1,7273,89875,1.060369059
38,cube8_cluster3,2854,36333,1.028201565
33,cube7_cluster3,2770,35329,1.026275516
3,cube1_cluster3,236,3059,1.009612472
8,cube2_cluster3,240,3155,0.995473082
39,cube8_cluster4,3205,42459,0.987695618
2,cube1_cluster2,202,2696,0.980494463
34,cube7_cluster4,3837,51704,0.970800358
6,cube2_cluster1,202,2724,0.970409456
16,cube4_cluster1,14571,204693,0.928277411
29,cube6_cluster4,12679,179874,0.919229452
0,cube1_cluster0,275,3959,0.908926705
5,cube2_cluster0,275,3959,0.908926705
13,cube3_cluster3,12382,178436,0.904381125
19,cube4_cluster4,12604,181881,0.903034455
36,cube8_cluster1,3407,49438,0.900783757
20,cube5_cluster0,11408,166353,0.893626294
18,cube4_cluster3,8311,127613,0.848324893
28,cube6_cluster3,16258,252953,0.832577746
22,cube5_cluster2,8356,141368,0.767428029
14,cube3_cluster4,8306,140567,0.767211688
30,cube7_cluster0,572,10355,0.722381026
37,cube8_cluster2,5201,95166,0.710481285
32,cube7_cluster2,3935,78837,0.648856376
4,cube1_cluster4,4,124,0.422133666
9,cube2_cluster4,12,1095,0.143380076
