key,number of ones,number of zeros,odds ratio
cube0_cluster0,1,7,1.794036904827636
cube2_cluster0,1,7,1.794036904827636
cube1_cluster0,1,7,1.794036904827636
cube3_cluster4,11,87,1.587837552430939
cube8_cluster4,11,87,1.587837552430939
cube12_cluster0,9,74,1.5273640668961685
cube7_cluster0,9,74,1.5273640668961685
cube16_cluster3,5003,51504,1.2221569664262457
cube14_cluster2,5204,54188,1.2082604067971159
cube15_cluster4,5531,58714,1.1851108066726335
cube16_cluster1,19769,221773,1.1244833986700753
cube14_cluster0,19772,221909,1.1239461441060072
cube6_cluster0,28953,327773,1.1161798100604288
cube11_cluster0,28953,327773,1.1161798100604288
cube15_cluster1,20938,237546,1.1117035422760662
cube10_cluster1,30027,343374,1.1046031600135855
cube4_cluster1,29759,340699,1.1032045392222276
cube9_cluster2,29773,341042,1.1025818865080936
cube5_cluster1,31228,359052,1.098526304584994
cube5_cluster3,13725,164699,1.0478705290999697
cube9_cluster0,13729,164760,1.0477859710767368
cube4_cluster2,13724,164701,1.0477789027292346
cube14_cluster1,13456,161643,1.04669848997007
cube15_cluster0,14008,168298,1.0465993771990654
cube10_cluster2,13482,162089,1.0458144815922046
cube16_cluster4,1802,22811,0.9920341691061402
cube15_cluster2,1802,22811,0.9920341691061402
cube5_cluster4,8884,113343,0.9840449970176876
cube9_cluster1,8626,112157,0.9652422236603249
cube4_cluster3,8640,112500,0.9638343722676969
cube14_cluster4,2049,26945,0.9547872836598943
cube16_cluster0,1458,19344,0.9463829449791487
cube6_cluster4,3967,54633,0.9111560710345843
cube11_cluster4,3967,54633,0.9111560710345843
cube10_cluster3,14199,205523,0.8636545907099352
cube6_cluster1,6722,98190,0.8577712893678769
cube11_cluster1,6722,98190,0.8577712893678769
cube11_cluster2,4919,73764,0.8358031201468764
cube6_cluster2,4919,73764,0.8358031201468764
cube11_cluster3,3852,57824,0.8352818780495638
cube6_cluster3,3852,57824,0.8352818780495638
cube10_cluster0,3857,57962,0.8343644882208094
cube8_cluster1,7,111,0.7919585423864591
cube3_cluster1,7,111,0.7919585423864591
cube10_cluster4,12961,205571,0.7861130529888701
cube14_cluster3,660,10572,0.7837076008997806
cube5_cluster2,9641,153849,0.782682278650803
cube4_cluster4,3718,60549,0.7693833754247059
cube9_cluster4,3718,60549,0.7693833754247059
cube9_cluster3,7885,130350,0.755721848536495
cube4_cluster0,7885,130350,0.755721848536495
cube5_cluster0,11043,183517,0.7500384495228607
cube15_cluster3,2080,35536,0.7339299910660255
cube16_cluster2,2078,35533,0.7332835426284128
cube17_cluster0,1,26,0.4830084415086961
cube8_cluster0,1,37,0.3394107293101778
cube3_cluster0,1,37,0.3394107293101778
cube3_cluster3,2,105,0.2392015925146669
cube8_cluster3,2,105,0.2392015925146669
cube8_cluster2,0,9,0.0
cube3_cluster2,0,9,0.0
cube13_cluster1,0,1,0.0
cube13_cluster0,0,8,0.0
